"camis","dba","boro","building","street","zipcode","phone","cuisine_description","inspection_date","action","violation_code","violation_description","critical_flag","score","grade","grade_date","record_date","inspection_type","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"50059659","KING OF FALAFEL & SHAWARMA","Queens","3015","BROADWAY","11106","7183408068","Mediterranean","2019-10-02T00:00:00.000","Violations were cited in the following area(s).","02H","Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2  hours, and from 70º F to 41º F or less within 4 additional hours.","Critical","29",,,"2021-07-15T06:00:56.000","Cycle Inspection / Initial Inspection","40.762255304659","-73.925980162202","401","22","006100","4007511","4005890002","QN70"
"50088022","Wara","Manhattan","67","1 AVENUE","10003","9177755690","Japanese","2019-04-11T00:00:00.000","Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical","15",,,"2021-07-15T06:00:56.000","Pre-permit (Operational) / Initial Inspection","40.725328443105","-73.986950460906","103","02","003800","1006218","1004460036","MN22"
"50042744","AZTEC SOUL","Brooklyn","3372","ATLANTIC AVENUE","11208","3476631651","Mexican","2019-09-25T00:00:00.000","Violations were cited in the following area(s).","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical","12","A","2019-09-25T00:00:00.000","2021-07-15T06:00:56.000","Cycle Inspection / Re-inspection","40.681555445711","-73.871973758914","305","37","117800","3093271","3041620018","BK83"
"50036504","EL CORTEZ","Brooklyn","17","INGRAHAM STREET","11206","3475992976","Mexican","2017-01-06T00:00:00.000","Violations were cited in the following area(s).","10H","Proper sanitization not provided for utensil ware washing operation.","Not Critical","7","A","2017-01-06T00:00:00.000","2021-07-15T06:00:56.000","Cycle Inspection / Initial Inspection","40.706908677692","-73.932988620939","301","34","045300","3400469","3030750033","BK77"
"41362530","H&H BAGELS","Queens","0","JFK INTL. AIRPORT","11430","3476422534","Sandwiches","2019-11-21T00:00:00.000","Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical","12",,,"2021-07-15T06:00:56.000","Cycle Inspection / Initial Inspection","40.648312826068","-73.788281497594","483","28","071600","4000000","4142600001","QN98"
"50075440","BRASSERIE TOAST CAFE","Manhattan","968","AVENUE OF THE AMERICAS","10018","9172616762","American","2019-05-31T00:00:00.000","Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical","22",,,"2021-07-15T06:00:56.000","Cycle Inspection / Initial Inspection","40.750794369825","-73.987035683627","105","04","008400","1015884","1008370005","MN17"
"50007382","MEMORIES BAR SHEVROJA","Brooklyn","2611","BATH AVENUE","11214","7187152911","Eastern European","2019-11-13T00:00:00.000","Violations were cited in the following area(s).","15F2","Operator failed to make a good faith effort to inform smokers or users of electronic cigarettes of the SFAA","Not Critical",,,,"2021-07-15T06:00:56.000","Smoke-Free Air Act / Initial Inspection","40.592791490104","-73.988377113181","313","47","030200","3186393","3068820004","BK29"
"50000638","EL TORO BRAVO","Queens","8812","ROOSEVELT AVENUE","11372","7185051025","Mexican","2017-08-17T00:00:00.000","Violations were cited in the following area(s).","10H","Proper sanitization not provided for utensil ware washing operation.","Not Critical","40","C","2017-08-17T00:00:00.000","2021-07-15T06:00:56.000","Cycle Inspection / Re-inspection","40.748254339336","-73.877879475337","404","21","027100","4314470","4015100059","QN29"
"50011695","LOVELLS AFTER DARK BAR AND LOUNGE","Queens","224-01","MERRICK BOULEVARD","11413","7189788600","American","2016-08-19T00:00:00.000","Violations were cited in the following area(s).","09C","Food contact surface not properly maintained.","Not Critical","11","A","2016-08-19T00:00:00.000","2021-07-15T06:00:56.000","Cycle Inspection / Initial Inspection","40.677842013684","-73.745479374091","413","31","063000","4279311","4129630308","QN66"
"50085705","JOHN'S FRIED CHICKEN","Manhattan","3853","BROADWAY","10032","2125680004","Chicken","2019-07-29T00:00:00.000","Violations were cited in the following area(s).","04H","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.","Critical","50","C","2019-07-29T00:00:00.000","2021-07-15T06:00:56.000","Cycle Inspection / Re-inspection","40.836315712227","-73.943236832723","112","07","024500","1063351","1021370014","MN36"
"50049228","LENWICH","Manhattan","60","WEST   48 STREET","10036","2128716677","Soups/Salads/Sandwiches","2018-02-26T00:00:00.000","Violations were cited in the following area(s).","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.","Critical","21",,,"2021-07-15T06:00:56.000","Cycle Inspection / Initial Inspection","40.758198776766","-73.980320339473","105","04","009600","1034500","1012630066","MN17"
"40396892","PARADISE ALLEY BAR","Queens","4109","150 STREET","11355","7184606941","American","2018-10-04T00:00:00.000","Violations were cited in the following area(s).","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.","Critical","11",,,"2021-07-15T06:00:56.000","Cycle Inspection / Initial Inspection","40.762388899418","-73.813814615944","407","20","116700","4114918","4050580017","QN51"
"50059778","EMMY SQUARED","Brooklyn","364","GRAND STREET","11211","7183604535","Pizza","2017-02-22T00:00:00.000","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","28",,,"2021-07-15T06:00:56.000","Pre-permit (Operational) / Initial Inspection","40.712324145245","-73.955679211892","301","34","052300","3062845","3023960019","BK73"
"50059778","EMMY SQUARED","Brooklyn","364","GRAND STREET","11211","7183604535","Pizza","2017-02-22T00:00:00.000","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","28",,,"2021-07-15T06:00:56.000","Pre-permit (Operational) / Initial Inspection","40.712324145245","-73.955679211892","301","34","052300","3062845","3023960019","BK73"
"50091726","EL JAGUAR RESTAURANT","Bronx","536","EAST  138 STREET","10454","7182928865","Mexican","2019-08-14T00:00:00.000","Violations were cited in the following area(s).","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.","Critical","40",,,"2021-07-15T06:00:56.000","Pre-permit (Operational) / Initial Inspection","40.807080046265","-73.918152872085","201","08","002500","2000042","2022650039","BX39"
"50033491","COMMONS CAFE","Brooklyn","388","ATLANTIC AVENUE","11217","9172168754","American","2019-06-20T00:00:00.000","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical","12","A","2019-06-20T00:00:00.000","2021-07-15T06:00:56.000","Cycle Inspection / Re-inspection","40.687195181354","-73.985555310335","302","33","004100","3335914","3001830028","BK38"
"41108957","NEW MEXICO PLACE","Brooklyn","189","GRAHAM AVENUE","11206","7183024573","Mexican","2019-05-28T00:00:00.000","Violations were cited in the following area(s).","02G","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.","Critical","29",,,"2021-07-15T06:00:56.000","Cycle Inspection / Initial Inspection","40.708541943851","-73.943410982534","301","34","050500","3338404","3030430021","BK90"
"50006308","GASTROTECA ASTORIA","Queens","33-02","34 AVENUE","11106","7187299080","Italian","2018-05-17T00:00:00.000","Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical","13","A","2018-05-17T00:00:00.000","2021-07-15T06:00:56.000","Cycle Inspection / Initial Inspection","40.758846019409","-73.925525538789","401","26","005700","4008233","4006100025","QN70"
"41183605","TROPICAL 128","Manhattan","128","ELIZABETH STREET","10013","2129258219","American","2016-12-12T00:00:00.000","Violations were cited in the following area(s).","04A","Food Protection Certificate not held by supervisor of food operations.","Critical","12","A","2016-12-12T00:00:00.000","2021-07-15T06:00:56.000","Cycle Inspection / Re-inspection","40.719477249996","-73.995404023344","102","01","004100","1006944","1004700050","MN24"
"41212475","MOE'S CAFE","Manhattan","209","EAST   23 STREET","10010","2125922167","American","2017-11-27T00:00:00.000","Violations were cited in the following area(s).","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.","Critical","13",,,"2021-07-15T06:00:56.000","Cycle Inspection / Initial Inspection","40.738634498467","-73.982678920347","106","02","006400","1019770","1009040007","MN21"
"50044262","LUNERA MODERN MEXICAN","Queens","3225","STEINWAY ST","11103","7187269857","Spanish","2020-02-06T00:00:00.000","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","9","A","2020-02-06T00:00:00.000","2021-07-15T06:00:56.000","Cycle Inspection / Initial Inspection","40.758339655805","-73.91949441321","401","26","015700","4011015","4006760040","QN70"
"41479922","KENNEDY FRIED CHICKEN","Bronx","495","EAST  138 STREET","10454","7184012360","Chicken","2019-06-13T00:00:00.000","Violations were cited in the following area(s).","04M","Live roaches present in facility's food and/or non-food areas.","Critical","13",,,"2021-07-15T06:00:56.000","Cycle Inspection / Initial Inspection","40.807753587589","-73.919680052676","201","08","003900","2000275","2022830062","BX39"
"41173328","DALLAS BBQ","Manhattan","241","WEST   42 STREET","10036","2122219000","Barbecue","2017-04-03T00:00:00.000","Violations were cited in the following area(s).","02G","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.","Critical","12","A","2017-04-03T00:00:00.000","2021-07-15T06:00:56.000","Cycle Inspection / Initial Inspection","40.756802831341","-73.988759872837","105","03","011900","1087142","1010140001","MN17"
"50070808","DOWNEY'S BAR & GRILL","Bronx","5790","MOSHOLU AVENUE","10471","7185484939","American","2017-11-27T00:00:00.000","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","20",,,"2021-07-15T06:00:56.000","Cycle Inspection / Initial Inspection","40.905379915681","-73.897631426006","208","11","034500","2084899","2058552260","BX22"
"50111332",,"Brooklyn","624","CONEY ISLAND AVENUE","11218","9177552299",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2021-07-15T06:01:06.000",,"40.642103597567","-73.969620428007","312","40","049200","3125641","3053610030","BK41"
"40724462","CHUCK E. CHEESE'S","Queens","4818","NORTHERN BOULEVARD","11101","7187281583","American","2017-09-27T00:00:00.000","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical","22",,,"2021-07-15T06:00:56.000","Cycle Inspection / Initial Inspection","40.753612119698","-73.914244899613","401","26","017100","4000822","4001200012","QN31"
"41432588","TOASTIES","Manhattan","23","EAST   51 STREET","10022","63717676__","American","2019-10-31T00:00:00.000","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","53",,,"2021-07-15T06:00:56.000","Cycle Inspection / Initial Inspection","40.758661721903","-73.975541028846","105","04","010200","1035470","1012870014","MN17"
"41244032","ESTRELLITA POBLANA # 1","Bronx","22272231","WESTCHESTER AVENUE",,"7185187425","Mexican","2016-08-24T00:00:00.000","Violations were cited in the following area(s).","04A","Food Protection Certificate not held by supervisor of food operations.","Critical","27","B","2016-08-24T00:00:00.000","2021-07-15T06:00:56.000","Cycle Inspection / Re-inspection","0","0",,,,,"2",
"50063174","WINDSOR COFFEE","Brooklyn","144","EAST    4 STREET","11218","5163140291","Coffee/Tea","2019-10-02T00:00:00.000","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","10","A","2019-10-02T00:00:00.000","2021-07-15T06:00:56.000","Cycle Inspection / Initial Inspection","40.649195199279","-73.97757055752","307","39","050000","3122782","3052820057","BK40"
"50063174","WINDSOR COFFEE","Brooklyn","144","EAST    4 STREET","11218","5163140291","Coffee/Tea","2019-10-02T00:00:00.000","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","10","A","2019-10-02T00:00:00.000","2021-07-15T06:00:56.000","Cycle Inspection / Initial Inspection","40.649195199279","-73.97757055752","307","39","050000","3122782","3052820057","BK40"
"50063174","WINDSOR COFFEE","Brooklyn","144","EAST    4 STREET","11218","5163140291","Coffee/Tea","2019-10-02T00:00:00.000","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","10","A","2019-10-02T00:00:00.000","2021-07-15T06:00:56.000","Cycle Inspection / Initial Inspection","40.649195199279","-73.97757055752","307","39","050000","3122782","3052820057","BK40"
"50060066","CASCADE JERK","Queens","11902","SUTPHIN BLVD","11434","7188482318","Caribbean","2017-11-24T00:00:00.000","Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical","10","A","2017-11-24T00:00:00.000","2021-07-15T06:00:56.000","Cycle Inspection / Re-inspection","40.679123736202","-73.79165163747","412","28","018402","4261144","4120280010","QN76"
"50040568","PACKSUN HALAL CHICKEN","Bronx","2160","WESTCHESTER AVENUE","10462","9179811747","Bangladeshi","2019-04-16T00:00:00.000","Violations were cited in the following area(s).","04A","Food Protection Certificate not held by supervisor of food operations.","Critical","68",,,"2021-07-15T06:00:56.000","Cycle Inspection / Initial Inspection","40.834094202167","-73.852537015068","209","18","009200","2026604","2038140039","BX59"
"50042380","LA VELA DINING AND BAR","Manhattan","558","11 AVENUE","10036","2126952112","Italian","2018-06-06T00:00:00.000","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical","10","A","2018-06-06T00:00:00.000","2021-07-15T06:00:56.000","Cycle Inspection / Re-inspection","40.761104402898","-73.998090426223","104","03","012900","1026911","1010710001","MN15"
"50070032","CROWN HEIGHTS MOZZARELLA","Brooklyn","265","TROY AVENUE","11213","3477751725","Jewish/Kosher","2018-11-27T00:00:00.000","Violations were cited in the following area(s).","10I","Single service item reused, improperly stored, dispensed; not used when required.","Not Critical","16",,,"2021-07-15T06:00:56.000","Cycle Inspection / Initial Inspection","40.670213064171","-73.936540353391","308","35","035300","3037001","3013830002","BK61"
"41395402","CITI FIELD BLUE SMOKE, STAND 139","Queens","000","126th St  & ROOSEVELT AVENUE",,"7185958100","American","2019-06-05T00:00:00.000","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","9","A","2019-06-05T00:00:00.000","2021-07-15T06:00:56.000","Cycle Inspection / Initial Inspection","0","0",,,,,"4",
"50047145","DEK SEN","Queens","8608","WHITNEY AVE","11373","7183081510","Thai","2019-08-01T00:00:00.000","Violations were cited in the following area(s).","06E","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.","Critical","24",,,"2021-07-15T06:00:56.000","Cycle Inspection / Initial Inspection","40.741714648767","-73.878901952585","404","25","047100","4315161","4015790020","QN29"
"50093899","NONNAS PIZZERIA","Brooklyn","253","NASSAU AVENUE","11222","7183892600","Pizza","2019-08-28T00:00:00.000","Violations were cited in the following area(s).","02B","Hot food item not held at or above 140º F.","Critical","36","C","2019-08-28T00:00:00.000","2021-07-15T06:00:56.000","Pre-permit (Operational) / Re-inspection","40.72586887803","-73.941830399107","301","33","058900","3066612","3026570033","BK76"
"40380657","PETE'S CLAM STOP","Brooklyn","1320","SURF AVENUE","11224","7183720302","American","2016-04-19T00:00:00.000","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","12","A","2016-04-19T00:00:00.000","2021-07-15T06:00:56.000","Cycle Inspection / Initial Inspection","40.575528666625","-73.981850250554","313","47","035200","3329350","3070740250","BK21"
"40380657","PETE'S CLAM STOP","Brooklyn","1320","SURF AVENUE","11224","7183720302","American","2016-04-19T00:00:00.000","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","12","A","2016-04-19T00:00:00.000","2021-07-15T06:00:56.000","Cycle Inspection / Initial Inspection","40.575528666625","-73.981850250554","313","47","035200","3329350","3070740250","BK21"
"40380657","PETE'S CLAM STOP","Brooklyn","1320","SURF AVENUE","11224","7183720302","American","2016-04-19T00:00:00.000","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","12","A","2016-04-19T00:00:00.000","2021-07-15T06:00:56.000","Cycle Inspection / Initial Inspection","40.575528666625","-73.981850250554","313","47","035200","3329350","3070740250","BK21"
"41230437","THE CROOKED KNIFE","Manhattan","27-39","EAST 30 STREET","10016","2126962593","American","2018-07-25T00:00:00.000","Violations were cited in the following area(s).","04C","Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.","Critical","37",,,"2021-07-15T06:00:56.000","Cycle Inspection / Initial Inspection","40.745120632959","-73.984496118648","105","02","007400","1016959","1008600024","MN17"
"40379304","GOTHAM BAR & GRILL","Manhattan","12","EAST   12 STREET","10003","2126204026","American","2019-12-27T00:00:00.000","Violations were cited in the following area(s).","06A","Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.","Critical","22",,,"2021-07-15T06:00:56.000","Cycle Inspection / Initial Inspection","40.734370280749","-73.993901928353","102","02","006100","1009294","1005697501","MN23"
"50045404","AFRICAN HOME RESTAURANT","Bronx","57","EAST TREMONT AVENUE","10453","3475677708","African","2018-02-22T00:00:00.000","Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.","Critical","15",,,"2021-07-15T06:00:56.000","Cycle Inspection / Reopening Inspection","40.851150257271","-73.90812189637","205","14","024100","2007940","2028290026","BX41"
"50050333","BLUE BOTTLE COFFEE","Manhattan","54","WEST   40 STREET","10018","2127647908","Coffee/Tea","2020-01-13T00:00:00.000","Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical","13","A","2020-01-13T00:00:00.000","2021-07-15T06:00:56.000","Cycle Inspection / Initial Inspection","40.753149007676","-73.984118870755","105","04","008400","1016057","1008410080","MN17"
"40396037","SMILER'S DELI","Manhattan","532","MADISON AVENUE","10022","2126441090","Sandwiches","2017-10-04T00:00:00.000","Violations were cited in the following area(s).","02G","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.","Critical","61",,,"2021-07-15T06:00:56.000","Cycle Inspection / Initial Inspection","40.760456388468","-73.973706616717","105","04","010200","1035744","1012900015","MN17"
"50049958","LITTLE SHEEP MONGOLIAN HOT POT","Manhattan","105","BOWERY","10002","6464845707","Asian/Asian Fusion","2019-08-26T00:00:00.000","Violations were cited in the following area(s).","08C","Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.","Not Critical","18","B","2019-08-26T00:00:00.000","2021-07-15T06:00:56.000","Cycle Inspection / Re-inspection","40.717704121238","-73.995191308266","103","01","001600","1003923","1003040006","MN27"
"40725911","RUE 57","Manhattan","60","WEST   57 STREET","10019","2123075656","French","2018-03-28T00:00:00.000","Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical","25",,,"2021-07-15T06:00:56.000","Cycle Inspection / Initial Inspection","40.763731350534","-73.975824343877","105","04","011201","1035037","1012720001","MN17"
"50000600","GYRO EXPRESS","Queens","7706","21ST AVE","11370","7182781230","Greek","2018-01-11T00:00:00.000","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","26",,,"2021-07-15T06:00:56.000","Cycle Inspection / Initial Inspection","40.770520879085","-73.892644310003","401","22","031700","4021463","4009730001","QN72"
"40604442","LA LECHONERA RESTAURANT","Brooklyn","747","NEW LOTS AVENUE","11207","7182726038","Latin American","2018-01-23T00:00:00.000","Violations were cited in the following area(s).","02G","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.","Critical","17","B","2018-01-23T00:00:00.000","2021-07-15T06:00:56.000","Cycle Inspection / Re-inspection","40.666021341117","-73.883527654328","305","42","112400","3090737","3040930001","BK82"
"50054304","ALI BABA HOOKAH LOUNGE","Staten Island","4561","AMBOY ROAD","10312","3479834604","Middle Eastern","2017-08-12T00:00:00.000","Violations were cited in the following area(s).","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical","11","A","2017-08-12T00:00:00.000","2021-07-15T06:00:56.000","Pre-permit (Operational) / Initial Inspection","40.542437865267","-74.165044018382","503","51","017011","5073840","5055850080","SI01"
